Book Title, Rating out of Four Stars, Price

A Light in the Attic      Three stars      £51.77
Tipping the Velvet      One stars      £53.74
Soumission      One stars      £50.10
Sharp Objects      Four stars      £47.82
Sapiens: A Brief History of Humankind      Five stars      £54.23
The Requiem Red      One stars      £22.65
The Dirty Little Secrets of Getting Your Dream Job      Four stars      £33.34
The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull      Three stars      £17.93
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics      Four stars      £22.60
The Black Maria      One stars      £52.15
Starving Hearts (Triangular Trade Trilogy, #1)      Two stars      £13.99
Shakespeare's Sonnets      Four stars      £20.66
Set Me Free      Five stars      £17.46
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1)      Five stars      £52.29
Rip it Up and Start Again      Five stars      £35.02
Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991      Three stars      £57.25
Olio      One stars      £23.88
Mesaerion: The Best Science Fiction Stories 1800-1849      One stars      £37.59
Libertarianism for Beginners      Two stars      £51.33
It's Only the Himalayas      Two stars      £45.17
